title,mini_aula,fontes
Cardiopatia congênita cianótica,"Cardiopatia congênita cianótica deve ser estudado como protocolo clínico, não apenas como conceito. O raciocínio começa pela gravidade, passa pela confirmação diagnóstica e termina na conduta com dose por peso, reavaliação e critérios de internação.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/"
Epilepsia,"Epilepsia deve ser estudado como protocolo clínico, não apenas como conceito. O raciocínio começa pela gravidade, passa pela confirmação diagnóstica e termina na conduta com dose por peso, reavaliação e critérios de internação.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/"
Hipertensão intracraniana,"Hipertensão intracraniana deve ser estudado como protocolo clínico, não apenas como conceito. O raciocínio começa pela gravidade, passa pela confirmação diagnóstica e termina na conduta com dose por peso, reavaliação e critérios de internação.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/"
Leucemia aguda,"Leucemia aguda deve ser estudado como protocolo clínico, não apenas como conceito. O raciocínio começa pela gravidade, passa pela confirmação diagnóstica e termina na conduta com dose por peso, reavaliação e critérios de internação.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/"
Puberdade normal,"Puberdade normal deve ser estudado como protocolo clínico, não apenas como conceito. O raciocínio começa pela gravidade, passa pela confirmação diagnóstica e termina na conduta com dose por peso, reavaliação e critérios de internação.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/"
Exantemas clássicos,"Exantemas são diagnóstico de padrão, mas o segredo é identificar os perigosos.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/"
Puberdade tardia,"Puberdade tardia deve ser estudado como protocolo clínico, não apenas como conceito. O raciocínio começa pela gravidade, passa pela confirmação diagnóstica e termina na conduta com dose por peso, reavaliação e critérios de internação.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/"
Vacinas em imunossuprimidos,"Em imunossuprimidos, a pergunta central é se a vacina é viva e qual a intensidade da imunossupressão.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/ | Ministério da Saúde - Calendário Nacional de Vacinação::Base oficial PNI para idade, doses, reforços e atualização vacinal.::https://www.gov.br/saude/pt-br/vacinacao/calendario | SBP - Sarampo e Dose Zero::Base para atualização de imunização e prevenção em cenário de reintrodução.::https://www.sbp.com.br/com-avanco-do-sarampo-nas-americas-sbp-lanca-documento-cientifico-sobre-prevencao-e-dose-zero-2/ | SBP - Atualização vacinas Covid-19 na pediatria::Base para vacinação Covid-19 e situações especiais pediátricas.::https://www.sbp.com.br/fileadmin/user_upload/sbp/2024/setembro/13/24625d-DC_Atualiz_VacinasCOVID-19_na_Pediatria.pdf"
Acidose metabólica,"Acidose metabólica em criança é uma pista. Choque, CAD e erros inatos são causas críticas.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/ | SBP - Distúrbios acidobásicos::Base para avaliação de acidose/alcalose e raciocínio em emergências metabólicas.::https://www.sbp.com.br/disturbios-acidobasicos-e-o-tema-de-novo-documento-cientifico-produzido-pela-sbp/"
Crescimento pôndero-estatural,"Crescimento é sinal vital da pediatria. A curva é o prontuário biológico.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/ | Ministério da Saúde - Caderneta da Criança::Base para puericultura, crescimento, desenvolvimento, vigilância e orientação familiar.::https://www.gov.br/saude/pt-br/assuntos/saude-de-a-a-z/s/saude-da-crianca/caderneta"
ITU pediátrica,"ITU pediátrica deve ser estudado como protocolo clínico, não apenas como conceito. O raciocínio começa pela gravidade, passa pela confirmação diagnóstica e termina na conduta com dose por peso, reavaliação e critérios de internação.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/"
Baixa estatura,"Baixa estatura é longitudinal. A curva mostra a história da criança.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/"
TEA,"TEA melhora com intervenção precoce e plano familiar/escolar.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/ | Ministério da Saúde - Caderneta da Criança::Base para puericultura, crescimento, desenvolvimento, vigilância e orientação familiar.::https://www.gov.br/saude/pt-br/assuntos/saude-de-a-a-z/s/saude-da-crianca/caderneta"
Atraso de linguagem,"Atraso de linguagem deve ser estudado como protocolo clínico, não apenas como conceito. O raciocínio começa pela gravidade, passa pela confirmação diagnóstica e termina na conduta com dose por peso, reavaliação e critérios de internação.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/ | Ministério da Saúde - Caderneta da Criança::Base para puericultura, crescimento, desenvolvimento, vigilância e orientação familiar.::https://www.gov.br/saude/pt-br/assuntos/saude-de-a-a-z/s/saude-da-crianca/caderneta"
TDAH,"TDAH é transtorno de função executiva com prejuízo funcional.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/ | Ministério da Saúde - Caderneta da Criança::Base para puericultura, crescimento, desenvolvimento, vigilância e orientação familiar.::https://www.gov.br/saude/pt-br/assuntos/saude-de-a-a-z/s/saude-da-crianca/caderneta"
Acne na adolescência,"Acne é comum, mas cicatriz e sofrimento psíquico justificam tratamento efetivo.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/"
Enurese noturna,"Enurese é comum e melhora com abordagem estruturada e acolhedora.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/ | SBP - Programa de Reanimação Neonatal::Diretrizes e materiais do PRN-SBP para sala de parto, prematuro e cuidados pós-reanimação.::https://www.sbp.com.br/reanimacao | SBP - Diretrizes de reanimação RN ≥34 semanas 2022::Base para sequência de passos iniciais, VPP, compressões e medicações em sala de parto.::https://www.sbp.com.br/fileadmin/user_upload/sbp/2022/junho/06/DiretrizesSBP-Reanimacao-RNigualMaior34semanas-MAIO2022a.pdf | SBP - Diretrizes de reanimação RN <34 semanas 2022::Base para termorregulação, CPAP/VPP, oxigênio e particularidades do prematuro.::https://www.sbp.com.br/fileadmin/user_upload/sbp/2022/junho/06/DiretrizesSBP-Reanimacao-RNmenor34semanas-MAIO2022a.pdf | Ministério da Saúde - Caderneta da Criança::Base para puericultura, crescimento, desenvolvimento, vigilância e orientação familiar.::https://www.gov.br/saude/pt-br/assuntos/saude-de-a-a-z/s/saude-da-crianca/caderneta"
Dor abdominal recorrente,"Dor abdominal recorrente é comum; o segredo é separar funcional de alarme.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/ | Ministério da Saúde - Caderneta da Criança::Base para puericultura, crescimento, desenvolvimento, vigilância e orientação familiar.::https://www.gov.br/saude/pt-br/assuntos/saude-de-a-a-z/s/saude-da-crianca/caderneta"
Vasculites pediátricas,"Vasculite pediátrica é síndrome de vasos. O rim é o órgão a não esquecer.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/"
Asma infantil,"Asma infantil deve ser estudado como protocolo clínico, não apenas como conceito. O raciocínio começa pela gravidade, passa pela confirmação diagnóstica e termina na conduta com dose por peso, reavaliação e critérios de internação.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/ | SBP - Distúrbios acidobásicos::Base para avaliação de acidose/alcalose e raciocínio em emergências metabólicas.::https://www.sbp.com.br/disturbios-acidobasicos-e-o-tema-de-novo-documento-cientifico-produzido-pela-sbp/"
Influenza pediátrica,"Influenza nao e apenas resfriado forte. A janela de antiviral importa, mas a gravidade importa mais: hospitalizados e graves devem receber tratamento mesmo se passaram 48 horas.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/"
BCG e situações especiais,"BCG e situações especiais deve ser estudado como protocolo clínico, não apenas como conceito. O raciocínio começa pela gravidade, passa pela confirmação diagnóstica e termina na conduta com dose por peso, reavaliação e critérios de internação.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/ | Ministério da Saúde - Calendário Nacional de Vacinação::Base oficial PNI para idade, doses, reforços e atualização vacinal.::https://www.gov.br/saude/pt-br/vacinacao/calendario | SBP - Sarampo e Dose Zero::Base para atualização de imunização e prevenção em cenário de reintrodução.::https://www.sbp.com.br/com-avanco-do-sarampo-nas-americas-sbp-lanca-documento-cientifico-sobre-prevencao-e-dose-zero-2/ | SBP - Atualização vacinas Covid-19 na pediatria::Base para vacinação Covid-19 e situações especiais pediátricas.::https://www.sbp.com.br/fileadmin/user_upload/sbp/2024/setembro/13/24625d-DC_Atualiz_VacinasCOVID-19_na_Pediatria.pdf"
Vacinação PNI x SBP,"O jeito seguro de estudar PNI é por blocos de idade. Primeiro decore marcos: nascer, 2/4/6 meses, 12/15 meses, 4 anos e adolescência. Depois adicione as pegadinhas: rotavírus, influenza anual, covid por imunizante, febre amarela e imunossuprimidos.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/ | Ministério da Saúde - Calendário Nacional de Vacinação::Base oficial PNI para idade, doses, reforços e atualização vacinal.::https://www.gov.br/saude/pt-br/vacinacao/calendario | SBP - Sarampo e Dose Zero::Base para atualização de imunização e prevenção em cenário de reintrodução.::https://www.sbp.com.br/com-avanco-do-sarampo-nas-americas-sbp-lanca-documento-cientifico-sobre-prevencao-e-dose-zero-2/ | SBP - Atualização vacinas Covid-19 na pediatria::Base para vacinação Covid-19 e situações especiais pediátricas.::https://www.sbp.com.br/fileadmin/user_upload/sbp/2024/setembro/13/24625d-DC_Atualiz_VacinasCOVID-19_na_Pediatria.pdf"
Obesidade na adolescência,"Obesidade é doença crônica multifatorial, não falta de vontade.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/"
RN com SDR,"A SDR neonatal e uma doenca de volume pulmonar baixo por falta de surfactante. A intervencao que muda a historia inicial e manter alveolos abertos com CPAP precoce e evitar tanto hipoxemia quanto hiperoxia. Surfactante entra quando o CPAP nao basta ou a necessidade de oxigenio sobe.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/ | SBP - Programa de Reanimação Neonatal::Diretrizes e materiais do PRN-SBP para sala de parto, prematuro e cuidados pós-reanimação.::https://www.sbp.com.br/reanimacao | SBP - Diretrizes de reanimação RN ≥34 semanas 2022::Base para sequência de passos iniciais, VPP, compressões e medicações em sala de parto.::https://www.sbp.com.br/fileadmin/user_upload/sbp/2022/junho/06/DiretrizesSBP-Reanimacao-RNigualMaior34semanas-MAIO2022a.pdf | SBP - Diretrizes de reanimação RN <34 semanas 2022::Base para termorregulação, CPAP/VPP, oxigênio e particularidades do prematuro.::https://www.sbp.com.br/fileadmin/user_upload/sbp/2022/junho/06/DiretrizesSBP-Reanimacao-RNmenor34semanas-MAIO2022a.pdf"
Icterícia neonatal,"A ictericia fisiologica existe, mas a prova e a seguranca do paciente dependem de reconhecer padroes patologicos: antes de 24h, hemolise, prematuridade e sinais neurologicos. A zona de Kramer nunca substitui bilirrubina quando ha risco.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/ | SBP - Programa de Reanimação Neonatal::Diretrizes e materiais do PRN-SBP para sala de parto, prematuro e cuidados pós-reanimação.::https://www.sbp.com.br/reanimacao | SBP - Diretrizes de reanimação RN ≥34 semanas 2022::Base para sequência de passos iniciais, VPP, compressões e medicações em sala de parto.::https://www.sbp.com.br/fileadmin/user_upload/sbp/2022/junho/06/DiretrizesSBP-Reanimacao-RNigualMaior34semanas-MAIO2022a.pdf | SBP - Diretrizes de reanimação RN <34 semanas 2022::Base para termorregulação, CPAP/VPP, oxigênio e particularidades do prematuro.::https://www.sbp.com.br/fileadmin/user_upload/sbp/2022/junho/06/DiretrizesSBP-Reanimacao-RNmenor34semanas-MAIO2022a.pdf"
